,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,Cluster_KM
383,1,3,23632.0,6730.0,3842.0,7787.25,385.0,819.0,3
384,1,3,12377.0,865.0,3204.0,1398.0,149.0,452.0,1
385,1,3,9602.0,1316.0,1263.0,2921.0,841.0,290.0,1
386,2,3,4515.0,11991.0,9345.0,2644.0,3378.0,2213.0,0
387,1,3,11535.0,1666.0,1428.0,6838.0,64.0,743.0,3
388,1,3,11442.0,1032.0,582.0,5390.0,74.0,247.0,3
389,1,3,9612.0,577.0,935.0,1601.0,469.0,375.0,1
390,1,3,4446.0,906.0,1238.0,3576.0,153.0,1014.0,1
391,1,3,27167.0,2801.0,2128.0,7787.25,92.0,1902.0,3
392,1,3,26539.0,4753.0,5091.0,220.0,10.0,340.0,1
393,1,3,25606.0,11006.0,4604.0,127.0,632.0,288.0,1
394,1,3,18073.0,4613.0,3444.0,4324.0,914.0,715.0,3
395,1,3,6884.0,1046.0,1167.0,2069.0,593.0,378.0,1
396,1,3,25066.0,5010.0,5026.0,7787.25,1092.0,960.0,3
397,2,3,7362.0,12844.0,18683.0,2854.0,7883.0,553.0,0
398,2,3,8257.0,3880.0,6407.0,1646.0,2730.0,344.0,0
399,1,3,8708.0,3634.0,6100.0,2349.0,2123.0,3850.0,1
400,1,3,6633.0,2096.0,4563.0,1389.0,1860.0,1892.0,1
401,1,3,2126.0,3289.0,3281.0,1535.0,235.0,3850.0,1
402,1,3,97.0,3605.0,12400.0,98.0,2970.0,62.0,1
403,1,3,4983.0,4859.0,6633.0,7787.25,912.0,2435.0,3
404,1,3,5969.0,1990.0,3417.0,5679.0,1135.0,290.0,3
405,2,3,7842.0,6046.0,8552.0,1691.0,3540.0,1874.0,0
406,2,3,4389.0,10940.0,10908.0,848.0,6728.0,993.0,0
407,1,3,5065.0,5499.0,11055.0,364.0,3485.0,1063.0,1
408,2,3,660.0,8494.0,18622.0,133.0,6740.0,776.0,0
409,1,3,8861.0,3783.0,2223.0,633.0,1580.0,1521.0,1
410,1,3,4456.0,5266.0,13227.0,25.0,6818.0,1393.0,1
411,2,3,17063.0,4847.0,9053.0,1031.0,3415.0,1784.0,0
412,1,3,26400.0,1377.0,4172.0,830.0,948.0,1218.0,1
413,2,3,17565.0,3686.0,4657.0,1059.0,1803.0,668.0,0
414,2,3,16980.0,2884.0,12232.0,874.0,3213.0,249.0,0
415,1,3,11243.0,2408.0,2593.0,7787.25,108.0,1886.0,3
416,1,3,13134.0,9347.0,14316.0,3141.0,5079.0,1894.0,3
417,1,3,31012.0,15489.5,5429.0,7787.25,439.0,1163.0,3
418,1,3,3047.0,5970.0,4910.0,2198.0,850.0,317.0,1
419,1,3,8607.0,1750.0,3580.0,47.0,84.0,2501.0,1
420,1,3,3097.0,4230.0,16483.0,575.0,241.0,2080.0,1
421,1,3,8533.0,5506.0,5160.0,7787.25,1377.0,1498.0,3
422,1,3,21117.0,1162.0,4754.0,269.0,1328.0,395.0,1
423,1,3,1982.0,3218.0,1493.0,1541.0,356.0,1449.0,1
424,1,3,16731.0,3922.0,7994.0,688.0,2371.0,838.0,1
425,1,3,29703.0,12051.0,16027.0,7787.25,182.0,2204.0,3
426,1,3,37788.25,1431.0,764.0,4510.0,93.0,2346.0,3
427,2,3,14531.0,15488.0,23549.375,437.0,9598.375,1867.0,0
428,1,3,10290.0,1981.0,2232.0,1038.0,168.0,2125.0,1
429,1,3,2787.0,1698.0,2510.0,65.0,477.0,52.0,1
